input,Sij,split,test_points,deg,ridge,n_cycles,gate,Z0,baseline_test_MSE,ufrf_test_MSE,improvement_percent,train_gain_used,used_ufrf,tau_est,phi0_est
RCER71E106K3A2H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.026056090854538,2.026056090854538,0.0,0.001400852390804,False,6.233302526998208e-09,0.125029067501876
NFZ5BBW4R5LZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.754408283592114,2.754408283592114,0.0,0.004554245212959,False,-4.383746813741096e-10,-0.388556816432626
NFZ5BBW141LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.7165529352449003,2.7165529352449003,0.0,0.002929209888406,False,-4.820175319022376e-10,-0.48221783490054904
NFZ32BW9R8HN11_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.150657516275723,2.150657516275723,0.0,0.000663857278203,False,-5.803914660143169e-10,-0.5067145332888431
NFZ32BW881HN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.44201765916468205,0.44201765916468205,0.0,0.002421835195405,False,-4.010129651964098e-10,0.17052699894994
NFZ5BBW310LZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,3.2007446583778942,3.2007446583778942,0.0,0.000284376530405,False,-5.967707907709498e-10,-0.605945210770497
NFZ32SW901HN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.384180583932762,1.384180583932762,0.0,0.003451005048362,False,-4.804859990980225e-10,-0.447241941311427
NFZ5BBW970LZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.368764581819862,1.368764581819862,0.0,0.005199478774649001,False,-6.003053280915277e-10,-0.643118895887554
NFZ32BW8R4HN11_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.107290846429359,2.107290846429359,0.0,0.0035746205263400004,False,-5.29839572778313e-10,-0.468200934803976
NFZ5BBW520LZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.838044432800466,0.838044432800466,0.0,0.003945221376031,False,-5.976914683858805e-10,-0.635383633402904
NFZ5BBW610LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.792055544072629,0.792055544072629,0.0,0.002356774825709,False,-6.082604100744e-10,-0.651855004497456
NFZ32BW650HN11_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.9602328086216831,1.9602328086216831,0.0,0.0032632381557370005,False,-7.844885566545902e-10,-0.830140294243291
NFZ32BW6R8HN11_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.423677477613606,1.423677477613606,0.0,0.003336239894851,False,-4.895094893688375e-10,-0.44309053009515503
NFZ5BBW450LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.629801200045697,1.629801200045697,0.0,0.00424819555289,False,-6.089502231110172e-10,-0.6319718685573911
NFZ32BW700HN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.799615677893116,1.799615677893116,0.0,0.0008703572173040001,False,-7.909282999159227e-10,-0.8270101884650181
NFZ5BBW140LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,5.750368848083508,5.750368848083508,0.0,0.000258936799523,False,-5.20273135159452e-10,-0.48379066470080206
BLE18PS080SN1_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.101780973967035,0.101780973967035,0.0,0.0023536220364700003,False,4.847937412139889e-11,-0.018268557872304
NFZ5BBW141LZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.7165529352449003,2.7165529352449003,0.0,0.002929209888406,False,-4.820175319022376e-10,-0.48221783490054904
NFZ5BBW4R5LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.754408283592114,2.754408283592114,0.0,0.004554245212959,False,-4.383746813741096e-10,-0.388556816432626
NFZ32SW301HN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.43851032456412403,0.43851032456412403,0.0,0.0047619308202950005,False,-1.6375501532116702e-10,-0.333218860295913
NFZ32BW881HZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.44201765916468205,0.44201765916468205,0.0,0.002421835195405,False,-4.010129651964098e-10,0.17052699894994
NFZ32BW9R8HZ11_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.150657516275723,2.150657516275723,0.0,0.000663857278203,False,-5.803914660143169e-10,-0.5067145332888431
NFZ32BW8R4HZ11_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.107290846429359,2.107290846429359,0.0,0.0035746205263400004,False,-5.29839572778313e-10,-0.468200934803976
NFZ5BBW310LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,3.2007446583778942,3.2007446583778942,0.0,0.000284376530405,False,-5.967707907709498e-10,-0.605945210770497
NFZ5BBW970LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.368764581819862,1.368764581819862,0.0,0.005199478774649001,False,-6.003053280915277e-10,-0.643118895887554
NFZ5BBW520LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.838044432800466,0.838044432800466,0.0,0.003945221376031,False,-5.976914683858805e-10,-0.635383633402904
NFZ32BW650HZ11_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.9602328086216831,1.9602328086216831,0.0,0.0032632381557370005,False,-7.844885566545902e-10,-0.830140294243291
NFZ32BW6R8HZ11_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.423677477613606,1.423677477613606,0.0,0.003336239894851,False,-4.895094893688375e-10,-0.44309053009515503
NFZ32BW451HZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.16809506773496502,0.16809506773496502,0.0,0.004870377925378,False,-6.637911717914481e-10,-0.44751415596988803
NFZ5BBW610LZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.792055544072629,0.792055544072629,0.0,0.002356774825709,False,-6.082604100744e-10,-0.651855004497456
NFZ5BBW450LZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.629801200045697,1.629801200045697,0.0,0.00424819555289,False,-6.089502231110172e-10,-0.6319718685573911
BLE18PS080SH1_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.101780973967035,0.101780973967035,0.0,0.0023536220364700003,False,4.847937412139889e-11,-0.018268557872304
NFZ5BBW140LZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,5.750368848083508,5.750368848083508,0.0,0.000258936799523,False,-5.20273135159452e-10,-0.48379066470080206
NFZ32BW700HZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.799615677893116,1.799615677893116,0.0,0.0008703572173040001,False,-7.909282999159227e-10,-0.8270101884650181
BLE18PK160SN1_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.11549649553808301,0.11549649553808301,0.0,0.004628488090327,False,7.745770421040113e-11,-0.033839067283318
NFZ32BW621HN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.14260597768108302,0.14260597768108302,0.0,0.005796235296646001,False,-5.598318656017981e-10,-0.200505882311724
NFZ32BW520HZ11_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.157167845785786,2.157167845785786,0.0,0.00043350737205100006,False,-7.491868724495301e-10,-0.7630340748604101
NFZ5BBW170LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,4.818989315946378,4.818989315946378,0.0,0.0006435728243870001,False,-5.629490369341935e-10,-0.532846037409989
NFZ5BBW7R6LZ10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.202531367623009,1.202531367623009,0.0,0.004734306576762001,False,-3.993119944580015e-10,-0.44459214734418706
NFZ32BW7R4HN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.384180583932762,1.384180583932762,0.0,0.003451005048362,False,-4.804859990980225e-10,-0.447241941311427
BLE32PN260SH1_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.019373202638400002,0.019373202638400002,0.0,0.0010649360739330002,False,3.6521974888085284e-11,-0.05778490542013601
NFZ32BW9R0HN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.38338608903185,1.38338608903185,0.0,0.003240705658964,False,-5.413560194700238e-10,-0.5048804370916551
NFZ5BBW100LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,4.218703824417078,4.218703824417078,0.0,0.0018234426256130002,False,-5.226369214290849e-10,-0.46413765535573903
BLE18PK100SN1_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.12679895883932402,0.12679895883932402,0.0,0.0045265058249840005,False,6.028242077052479e-11,-0.018962206276296002
NFZ5BBW6R7LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.202531367623009,1.202531367623009,0.0,0.004734306576762001,False,-3.993119944580015e-10,-0.44459214734418706
NFZ5BBW2R9LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.017983172662378002,0.017983172662378002,0.0,0.0031393968364730003,False,2.190183559574889e-10,-0.27442616099626305
NFZ5BBW220LN10_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,4.749702865270407,4.749702865270407,0.0,0.00180958700901,False,-5.830380862137834e-10,-0.558875821344338
