file,Sij,baseline_test_MSE,ufrf_test_MSE,freq_min_GHz,freq_max_GHz,device_type,family,leaderboard,improvement_%
LQG15HH1N2B02_series.s2p,S11,0.3720594534213992,0.3086812512102787,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,17.034428672166424
LQG15HH1N2C02_series.s2p,S11,0.3720594534213992,0.3086812512102787,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,17.034428672166424
LQG15HH1N2S02_series.s2p,S11,0.3720594534213992,0.3086812512102787,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,17.034428672166424
LQG15HH1N3B02_series.s2p,S11,0.3696855250233844,0.3052489781185262,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,17.430097351196615
LQG15HH1N3C02_series.s2p,S11,0.3696855250233844,0.3052489781185262,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,17.430097351196615
LQG15HH1N3S02_series.s2p,S11,0.3696855250233844,0.3052489781185262,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,17.430097351196615
LQP03TN0N6BZ2_series.s2p,S11,0.308948712824082,0.2416877541345526,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.770914037705783
LQP15MN10NG02_series.s2p,S11,0.3483085899784988,0.268492297747305,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,22.915395866671243
LQP15MN12NG02_series.s2p,S11,0.3617482722003524,0.2740032638208514,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,24.25581961892658
LQP15MN15NG02_series.s2p,S11,0.382149797955496,0.2854843112412187,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,25.29518194996786
LQP15MN18NG02_series.s2p,S11,0.4005137910687749,0.2960891822612845,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,26.072662449108762
LQP15MN1N0B02_series.s2p,S11,0.3012453356351044,0.2381048774948867,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.959812707838616
LQP15MN1N0W02_series.s2p,S11,0.3012453356351044,0.2381048774948867,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,20.959812707838616
LQP15MN1N1B02_series.s2p,S11,0.3018749455919686,0.2377696482802047,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.2357130818045
LQP15MN1N1W02_series.s2p,S11,0.3018749455919686,0.2377696482802047,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.2357130818045
LQP15MN1N2B02_series.s2p,S11,0.3038049818419323,0.236902973846201,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,22.021366335111633
LQP15MN1N2W02_series.s2p,S11,0.3038049818419323,0.236902973846201,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,22.021366335111633
LQP15MN1N3B02_series.s2p,S11,0.300989314219975,0.236264858495267,0.05,20.0,passive,LQP,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.503904845407497
