file,Sij,gated,train_improvement_percent,improvement_percent,device_type,family,freq_min_GHz,freq_max_GHz,leaderboard
BLE32PN260SH1_series.s2p,S21,False,0.1445459525214282,,passive,BLE,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW451HZ10_series.s2p,S21,False,0.4309361353919226,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW520HN11_series.s2p,S21,False,0.5308481913315408,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW520HZ11_series.s2p,S21,False,0.5308481913315408,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW621HN10_series.s2p,S21,False,0.3785629105350746,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW621HZ10_series.s2p,S21,False,0.3785629105350746,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW650HN11_series.s2p,S21,False,0.5649073775060998,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW650HZ11_series.s2p,S21,False,0.5649073775060998,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW6R8HN11_series.s2p,S21,False,0.4176107495570612,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW6R8HZ11_series.s2p,S21,False,0.4176107495570612,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW700HN10_series.s2p,S21,False,0.621066042828772,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW700HZ10_series.s2p,S21,False,0.621066042828772,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW7R4HN10_series.s2p,S21,False,0.4330167860503187,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW7R4HZ10_series.s2p,S21,False,0.4330167860503187,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW881HN10_series.s2p,S21,False,0.3056521015537552,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW881HZ10_series.s2p,S21,False,0.3056521015537552,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW8R4HN11_series.s2p,S21,False,0.3175813179040582,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW8R4HZ11_series.s2p,S21,False,0.3175813179040582,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW9R0HN10_series.s2p,S21,False,0.4813369413930743,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW9R0HZ10_series.s2p,S21,False,0.4813369413930743,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW9R8HN11_series.s2p,S21,False,0.4097065645136584,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32BW9R8HZ11_series.s2p,S21,False,0.4097065645136584,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32SW301HN10_series.s2p,S21,False,0.4671439513933115,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ32SW901HN10_series.s2p,S21,False,0.4330167860503187,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW100LN10_series.s2p,S21,False,0.1877144305272281,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW100LZ10_series.s2p,S21,False,0.1877144305272281,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW140LN10_series.s2p,S21,False,0.173760880296414,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW140LZ10_series.s2p,S21,False,0.173760880296414,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW141LN10_series.s2p,S21,False,0.1880202321216548,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW141LZ10_series.s2p,S21,False,0.1880202321216548,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW170LN10_series.s2p,S21,False,0.196506865506965,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW170LZ10_series.s2p,S21,False,0.196506865506965,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW220LN10_series.s2p,S21,False,0.2008729755713968,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW220LZ10_series.s2p,S21,False,0.2008729755713968,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW2R9LN10_series.s2p,S21,False,0.139237594923124,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW2R9LZ10_series.s2p,S21,False,0.139237594923124,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW310LN10_series.s2p,S21,False,0.1687743346092641,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW310LZ10_series.s2p,S21,False,0.1687743346092641,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW450LN10_series.s2p,S21,False,0.1622555753831028,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW450LZ10_series.s2p,S21,False,0.1622555753831028,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW4R5LN10_series.s2p,S21,False,0.2409874030573267,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW4R5LZ10_series.s2p,S21,False,0.2409874030573267,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW520LN10_series.s2p,S21,False,0.1378112635161368,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW520LZ10_series.s2p,S21,False,0.1378112635161368,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW610LN10_series.s2p,S21,False,0.1546019664371236,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW610LZ10_series.s2p,S21,False,0.1546019664371236,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW6R7LN10_series.s2p,S21,False,0.4922890240899864,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW6R7LZ10_series.s2p,S21,False,0.4922890240899864,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW7R6LN10_series.s2p,S21,False,0.4922890240899864,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW7R6LZ10_series.s2p,S21,False,0.4922890240899864,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW970LN10_series.s2p,S21,False,0.1919524187282885,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
NFZ5BBW970LZ10_series.s2p,S21,False,0.1919524187282885,,passive,NFZ,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
0603CT_10N.s2p,S21,False,0.0902415641478652,,passive,unknown,0.001,8.5,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_11N.s2p,S21,False,0.2841767326510378,,passive,unknown,0.001,8.3,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_12N.s2p,S21,False,0.1712773212060605,,passive,unknown,0.001,8.0,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_15N.s2p,S21,False,0.2712445691196321,,passive,unknown,0.001,7.5,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_16N.s2p,S21,False,0.3139127306965618,,passive,unknown,0.001,7.3,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_18N.s2p,S21,False,0.3327799950415321,,passive,unknown,0.001,7.3,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_1N0.s2p,S21,False,0.597598984547899,,passive,unknown,0.001,26.0,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_1N2.s2p,S21,False,0.4683915515105342,,passive,unknown,0.001,26.0,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_20N.s2p,S21,False,0.3869998698386724,,passive,unknown,0.001,7.3,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_22N.s2p,S21,False,0.3379099312830487,,passive,unknown,0.001,6.7,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_24N.s2p,S21,False,0.3470007418216339,,passive,unknown,0.001,6.5,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_27N.s2p,S21,False,0.392313279616486,,passive,unknown,0.001,6.5,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_2N0.s2p,S21,False,0.4467032621861632,,passive,unknown,0.001,18.0,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_2N2.s2p,S21,False,0.7446533250661537,,passive,unknown,0.001,17.5,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_2N3.s2p,S21,False,0.678248526959863,,passive,unknown,0.001,17.0,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_2N5.s2p,S21,False,0.6353908882416018,,passive,unknown,0.001,17.0,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_30N.s2p,S21,False,0.1459903622123066,,passive,unknown,0.001,5.8,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_33N.s2p,S21,False,0.1248360722847056,,passive,unknown,0.001,5.6,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_36N.s2p,S21,False,0.1247654103755677,,passive,unknown,0.001,5.6,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_39N.s2p,S21,False,0.1191859955827763,,passive,unknown,0.001,5.5,results/batch_s21_delay_0603ct/leaderboard.csv
0603CT_3N0.s2p,S21,False,0.277925501007743,,passive,unknown,0.001,17.0,results/batch_s21_delay_0603ct/leaderboard.csv
