composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_K_4_1__K_8_2,K_4_1,K_8_2,65,141,193,-13,0.20131773592027583,13
C_K_4_1__K_8_2_mirror,K_4_1,K_8_2_mirror,65,75,130,-10,0.29904582092728255,10
C_K_4_1__K_8_3,K_4_1,K_8_3,65,229,255,-39,-0.02516560156613242,39
C_K_4_1__K_8_3_mirror,K_4_1,K_8_3_mirror,65,308,356,-17,0.2373175590417035,17
C_K_4_1__K_8_4,K_4_1,K_8_4,65,281,329,-17,0.20787917951094292,17
C_K_4_1__K_8_4_mirror,K_4_1,K_8_4_mirror,65,191,224,-32,0.08850170702575859,32
C_K_4_1__K_8_5,K_4_1,K_8_5,65,155,212,-8,0.651046866375141,8
C_K_4_1__K_8_5_mirror,K_4_1,K_8_5_mirror,65,190,219,-36,-0.08263499515704863,36
C_K_4_1__K_8_6,K_4_1,K_8_6,65,159,216,-8,0.6619618726955006,8
C_K_4_1__K_8_6_mirror,K_4_1,K_8_6_mirror,65,204,233,-36,-0.0759247879438849,36
C_K_4_1__K_8_7,K_4_1,K_8_7,65,65,121,-9,0.31302843917447537,9
C_K_4_1__K_8_7_mirror,K_4_1,K_8_7_mirror,65,103,150,-18,0.11353076959711442,18
C_K_4_1__K_8_8,K_4_1,K_8_8,65,82,134,-13,0.20492010776169076,13
C_K_4_1__K_8_8_mirror,K_4_1,K_8_8_mirror,65,140,192,-13,0.14223956404975752,13
C_K_4_1__K_8_9,K_4_1,K_8_9,65,273,322,-16,0.22673977392142614,16
C_K_4_1__K_8_9_mirror,K_4_1,K_8_9_mirror,65,186,216,-35,0.057249336943874546,35
C_K_4_1__K_8_10,K_4_1,K_8_10,65,128,190,-3,0.6546020259450209,3
C_K_4_1__K_8_10_mirror,K_4_1,K_8_10_mirror,65,127,184,-8,0.6798078676878545,8
C_K_4_1__K_8_11,K_4_1,K_8_11,65,112,169,-8,0.69269602032924,8
C_K_4_1__K_8_11_mirror,K_4_1,K_8_11_mirror,65,73,130,-8,0.4769716477161868,8
C_K_4_1__K_8_12,K_4_1,K_8_12,65,231,259,-37,-0.015614285374048317,37
C_K_4_1__K_8_12_mirror,K_4_1,K_8_12_mirror,65,325,374,-16,0.2320730941777301,16
C_K_4_1__K_8_13,K_4_1,K_8_13,65,272,295,-42,-0.07452556601271335,42
C_K_4_1__K_8_13_mirror,K_4_1,K_8_13_mirror,65,383,429,-19,0.27202097190193925,19
C_K_4_1__K_8_14,K_4_1,K_8_14,65,366,385,-46,-0.08715865307760419,46
C_K_4_1__K_8_14_mirror,K_4_1,K_8_14_mirror,65,498,541,-22,0.27680535518686905,22
C_K_4_1__K_8_15,K_4_1,K_8_15,65,106,165,-6,0.47186387396504115,6
C_K_4_1__K_8_15_mirror,K_4_1,K_8_15_mirror,65,200,247,-18,0.17727418123046965,18
C_K_4_1__K_8_16,K_4_1,K_8_16,65,190,227,-28,0.02496915154433514,28
C_K_4_1__K_8_16_mirror,K_4_1,K_8_16_mirror,65,105,168,-2,0.7710551960915232,2
C_K_4_1__K_8_17,K_4_1,K_8_17,65,334,371,-28,0.1487041917613547,28
C_K_4_1__K_8_17_mirror,K_4_1,K_8_17_mirror,65,199,248,-16,0.3481522222826711,16
C_K_4_1__K_8_18,K_4_1,K_8_18,65,315,346,-34,-0.0030232858602031835,34
C_K_4_1__K_8_18_mirror,K_4_1,K_8_18_mirror,65,450,493,-22,0.23996286583519014,22
C_K_4_1__K_8_19,K_4_1,K_8_19,65,303,350,-18,0.20871471582996584,18
C_K_4_1__K_8_19_mirror,K_4_1,K_8_19_mirror,65,210,245,-30,0.06843034393494987,30
C_K_4_1__K_8_20,K_4_1,K_8_20,65,334,371,-28,0.1487041917613547,28
C_K_4_1__K_8_20_mirror,K_4_1,K_8_20_mirror,65,199,248,-16,0.3481522222826711,16
C_K_4_1__K_8_21,K_4_1,K_8_21,65,334,371,-28,0.1487041917613547,28
C_K_4_1__K_8_21_mirror,K_4_1,K_8_21_mirror,65,199,248,-16,0.3481522222826711,16
C_K_4_1_mirror__K_3_1,K_4_1_mirror,K_3_1,65,29,84,-10,0.1677005618065333,10
C_K_4_1_mirror__K_3_1_mirror,K_4_1_mirror,K_3_1_mirror,65,29,84,-10,0.1677005618065333,10
C_K_4_1_mirror__K_4_1,K_4_1_mirror,K_4_1,65,65,130,0,0.9999999999999999,0
C_K_4_1_mirror__K_5_1,K_4_1_mirror,K_5_1,65,52,95,-22,0.052927836307886396,22
C_K_4_1_mirror__K_5_1_mirror,K_4_1_mirror,K_5_1_mirror,65,36,98,-3,0.8334444666716061,3
C_K_4_1_mirror__K_5_2,K_4_1_mirror,K_5_2,65,69,108,-26,0.04782480386694283,26
C_K_4_1_mirror__K_5_2_mirror,K_4_1_mirror,K_5_2_mirror,65,69,108,-26,0.04782480386694283,26
C_K_4_1_mirror__K_6_1,K_4_1_mirror,K_6_1,65,109,154,-20,0.18049116026245482,20
C_K_4_1_mirror__K_6_1_mirror,K_4_1_mirror,K_6_1_mirror,65,90,147,-8,0.6701636276436141,8
C_K_4_1_mirror__K_6_2,K_4_1_mirror,K_6_2,65,102,164,-3,0.7077676111288775,3
C_K_4_1_mirror__K_6_2_mirror,K_4_1_mirror,K_6_2_mirror,65,99,156,-8,0.7056333731248948,8
C_K_4_1_mirror__K_6_3,K_4_1_mirror,K_6_3,65,84,142,-7,0.7835693783650513,7
C_K_4_1_mirror__K_6_3_mirror,K_4_1_mirror,K_6_3_mirror,65,84,142,-7,0.7835693783650513,7
C_K_4_1_mirror__K_7_1,K_4_1_mirror,K_7_1,65,159,203,-21,0.06473002880731227,21
C_K_4_1_mirror__K_7_1_mirror,K_4_1_mirror,K_7_1_mirror,65,159,203,-21,0.06473002880731227,21
C_K_4_1_mirror__K_7_2,K_4_1_mirror,K_7_2,65,203,236,-32,0.003385539302160081,32
C_K_4_1_mirror__K_7_2_mirror,K_4_1_mirror,K_7_2_mirror,65,203,236,-32,0.003385539302160081,32
C_K_4_1_mirror__K_7_3,K_4_1_mirror,K_7_3,65,184,221,-28,0.04162597280506041,28
C_K_4_1_mirror__K_7_3_mirror,K_4_1_mirror,K_7_3_mirror,65,184,221,-28,0.04162597280506041,28
C_K_4_1_mirror__K_7_4,K_4_1_mirror,K_7_4,65,147,189,-23,0.0007552678365293409,23
C_K_4_1_mirror__K_7_4_mirror,K_4_1_mirror,K_7_4_mirror,65,147,189,-23,0.0007552678365293409,23
C_K_4_1_mirror__K_7_5,K_4_1_mirror,K_7_5,65,131,180,-16,0.07522178921744542,16
C_K_4_1_mirror__K_7_5_mirror,K_4_1_mirror,K_7_5_mirror,65,131,180,-16,0.07522178921744542,16
C_K_4_1_mirror__K_7_6,K_4_1_mirror,K_7_6,65,405,430,-40,-0.09112103306956727,40
C_K_4_1_mirror__K_7_6_mirror,K_4_1_mirror,K_7_6_mirror,65,405,430,-40,-0.09112103306956727,40
C_K_4_1_mirror__K_7_7,K_4_1_mirror,K_7_7,65,125,175,-15,0.29197152886967614,15
C_K_4_1_mirror__K_7_7_mirror,K_4_1_mirror,K_7_7_mirror,65,125,175,-15,0.29197152886967614,15
C_K_4_1_mirror__K_8_1,K_4_1_mirror,K_8_1,65,307,354,-18,0.24280461887975188,18
C_K_4_1_mirror__K_8_1_mirror,K_4_1_mirror,K_8_1_mirror,65,209,239,-35,-0.027579953344326957,35
C_K_4_1_mirror__K_8_2,K_4_1_mirror,K_8_2,65,141,193,-13,0.20131773592027583,13
C_K_4_1_mirror__K_8_2_mirror,K_4_1_mirror,K_8_2_mirror,65,75,130,-10,0.29904582092728255,10
C_K_4_1_mirror__K_8_3,K_4_1_mirror,K_8_3,65,229,255,-39,-0.02516560156613242,39
C_K_4_1_mirror__K_8_3_mirror,K_4_1_mirror,K_8_3_mirror,65,308,356,-17,0.2373175590417035,17
